ship_type,total_fuel_mt,fuel_per_nm_kg,co2_per_nm_kg,hours_at_sea
Container ship,2585.94,203.16,633.86,959.6
Bulk carrier,772.713,91.43,286.75,790.0
Bulk carrier,212.80763,91.1,283.74,213.7
Bulk carrier,1176.65,105.33,329.39,1178.8
Bulk carrier,69.602,55.76,174.36,121.2
Chemical tanker,1025.03,76.8,242.32,1325.93
Oil tanker,2165.39,85.4,267.32,2147.7
Chemical tanker,3337.8,99.45,313.11,3652.92
Chemical tanker,1453.975571,95.4,299.25,1381.17
Oil tanker,1981.2,87.47,274.26,1889.4
Chemical tanker,2786.0,95.14,299.53,2413.4
Oil tanker,4207.95,98.41,309.19,3601.2
Chemical tanker,3172.23,107.33,338.31,2470.1
Chemical tanker,2238.221,104.13,327.41,1883.0
Bulk carrier,1274.11,86.97,272.43,1309.6
Container ship,13687.74,238.29,742.73,4605.5
Container ship,5776.74,231.94,723.99,1919.0
Container ship,14595.4,267.07,834.84,3788.9
Oil tanker,743.3,137.17,428.47,507.6
Container ship,300.17,132.16,413.14,214.38
Bulk carrier,1210.82,95.64,298.03,1122.25
Container ship,524.1,215.15,673.34,166.1
Vehicle carrier,5896.38,103.23,280.24,4275.6
Vehicle carrier,4593.8,102.73,320.48,2983.6
Container ship,3320.623,276.1,860.9,701.23
Container ship,9499.47,185.45,579.8,4250.5
Container ship,9047.89,166.69,526.04,4637.7
General cargo ship,2200.444,49.55,156.04,3951.57
General cargo ship,1824.982,49.06,153.69,3012.86
Container ship,10954.37,162.67,508.26,4922.32
Container ship,6941.25,148.76,464.51,3367.9
Container ship,5866.25,164.52,514.83,2557.42
Bulk carrier,576.86,102.52,320.35,551.9
Container ship,7211.48,112.2,349.43,4034.02
Bulk carrier,1944.2,72.45,227.49,2830.12
Container ship,10262.29,247.11,772.86,3163.2
Oil tanker,1348.22,142.84,447.2,762.9
Oil tanker,3384.778,150.15,471.33,2470.3
Oil tanker,4774.5,177.56,553.69,5153.05
Oil tanker,8898.01,265.31,833.94,3507.25
Container ship,2051.2,202.31,630.14,724.4
Container ship,7735.87,161.64,512.63,4152.1
Container ship,1103.13,243.74,762.28,301.2
Oil tanker,2302.527,185.52,587.61,1739.22
Container ship,14830.86,256.89,806.68,4668.5
Chemical tanker,2973.1,93.53,295.08,3668.9
Container ship,3653.17,308.15,961.09,763.5
Container ship,14198.28,247.11,773.19,4429.7
Chemical tanker,202.01,83.0,260.84,186.83
Container ship,20543.9,194.17,604.81,5917.68
Container ship,7121.083,164.65,522.18,3509.8
Chemical tanker,789.15,113.91,361.79,1776.4
Bulk carrier,569.51,103.74,326.12,474.45
Bulk carrier,733.69,97.44,305.58,766.3
Chemical tanker,543.47,63.22,196.88,921.4
Bulk carrier,994.36,99.61,313.79,1026.62
Bulk carrier,993.718,73.03,231.36,1436.48
Gas carrier,1206.261,44.33,139.12,3064.62
Oil tanker,781.9,160.46,509.58,412.0
Bulk carrier,1145.66,67.01,209.49,1729.0
Bulk carrier,1634.29,84.62,265.04,2022.94
Bulk carrier,1123.22,90.7,285.07,1252.43
Bulk carrier,1999.988,93.62,291.71,1928.0
Chemical tanker,988.3,49.2,154.37,2350.2
Chemical tanker,2821.78,80.46,254.75,3954.0
General cargo ship,255.42,50.73,159.28,420.33
General cargo ship,1167.74,55.55,174.32,1724.82
Gas carrier,1168.36,106.65,333.76,927.4
Gas carrier,2201.04,91.84,288.39,1991.29
Container ship,7600.63,195.02,610.68,2793.7
Oil tanker,3223.55,124.02,393.53,2227.5
Oil tanker,4160.25,116.69,367.33,3193.5
Container ship,1221.0,76.55,237.89,1426.3
Container ship,285.26,93.31,291.79,312.64
Oil tanker,854.18,180.24,569.02,432.0
Oil tanker,5065.99,133.19,419.52,3493.85
Oil tanker,2693.774,130.07,409.54,2515.56
Oil tanker,3506.5,114.75,358.38,2388.37
Oil tanker,5952.9,3040.3,9527.81,857.02
Ro-pax ship,15182.99,184.86,575.72,5177.31
Ro-pax ship,13919.01,181.3,564.66,4942.49
Container ship,11033.28,217.7,682.36,3675.8
Container ship,10723.1,244.84,766.26,3027.9
Vehicle carrier,7242.412294,97.24,305.4,5342.56
Ro-pax ship,18165.27302,252.88,791.04,3517.69
Ro-ro ship,13615.4,116.75,363.71,6995.18
Ro-ro ship,13936.43,113.75,354.43,6980.62
Container ship,9668.76,182.13,569.95,3865.6
Vehicle carrier,2795.5,107.1,337.0,2096.83
Vehicle carrier,3577.65977,100.87,313.15,2254.09
Vehicle carrier,4792.7,92.36,289.88,3484.6
Vehicle carrier,3358.08,100.49,314.09,2100.98
Vehicle carrier,4433.25,114.41,356.57,2766.2
Vehicle carrier,2085.44,107.32,336.21,1131.9
Vehicle carrier,2854.61167,99.64,311.16,1703.3
Container ship,7840.98,300.81,941.76,1899.3
Container ship,16140.02,281.71,878.48,4494.7
Container ship,5679.67,265.48,831.81,1456.3
Container ship,14240.91,276.38,863.24,3730.6
Vehicle carrier,102.65,103.17,323.21,127.17
Vehicle carrier,5184.67,98.44,309.17,3545.45
Bulk carrier,1739.706,65.56,207.68,2469.85
Chemical tanker,1960.65867,120.42,378.86,1577.26
Chemical tanker,3260.73,112.97,355.62,2874.82
Container ship,3151.5615,235.02,732.1,1288.0
Container ship,634.2,139.98,435.9,320.35
Container ship,1432.9,163.26,508.41,628.25
Bulk carrier,425.206,88.23,277.42,560.8
Ro-pax ship,7858.892,163.84,525.27,2080.05
Vehicle carrier,1535.52459,91.73,289.35,993.9
Container ship,9887.16625,172.38,537.32,3983.26
Container ship,12732.74,193.36,602.83,4182.18
Container ship,10359.61,173.64,541.54,4204.6
Container ship,6843.79,177.23,560.18,3005.3
Bulk carrier,561.34,111.49,349.49,849.28
Container ship,8703.78,146.55,460.16,4225.7
Oil tanker,1164.880749,120.56,380.11,868.02
Chemical tanker,1071.21,96.31,302.79,906.47
Container ship,12651.07,192.14,598.58,3748.68
Container ship,6958.895,149.14,468.12,3729.73
General cargo ship,285.4,40.8,128.47,595.89
General cargo ship,830.59,46.24,145.48,1834.3
General cargo ship,2324.754,52.05,163.22,4057.06
Container ship,3968.01,289.02,905.01,1149.1
Oil tanker,3909.2,242.52,757.58,1308.44
Container ship,7259.02,179.87,564.06,2621.5
Container ship,12315.69,202.6,635.44,4330.5
Container ship,15877.21,238.49,745.38,4417.2
Container ship,18362.88,255.34,793.65,4642.7
Container ship,7652.91,215.59,674.47,2799.15
Oil tanker,4120.785,123.56,391.94,2763.2
Oil tanker,490.65,85.02,268.95,541.4
Container ship,7468.59,216.71,677.1,2348.7
Container ship,11625.12,220.08,686.88,3937.8
Container ship,8083.21,181.55,563.34,3213.47
Chemical tanker,2568.8,47.85,151.87,4637.0
Chemical tanker,2581.3,52.27,166.24,4310.0
Chemical tanker,2817.8,52.44,166.23,4801.0
Chemical tanker,2643.41,52.56,166.14,4323.0
Container ship,618.4,79.33,250.73,1017.6
Container ship,4899.0,82.22,256.58,5366.13
Container ship,3435.21,81.69,259.79,4364.17
Bulk carrier,999.0,65.21,205.55,1685.2
Gas carrier,528.15,137.91,436.95,324.3
Vehicle carrier,1193.78,111.21,348.11,774.11
Vehicle carrier,4059.75,102.66,321.37,2813.07
Container ship,16236.342,190.66,597.33,5418.65
Container ship,16990.741004,191.18,597.53,5351.52
Container ship,16251.362996,186.07,581.95,5335.27
Chemical tanker,3203.29,89.37,280.03,3269.97
Oil tanker,1073.359,176.05,553.81,562.7
Bulk carrier,589.899,128.91,401.81,433.3
Bulk carrier,905.44,83.06,260.3,927.6
Bulk carrier,592.8,72.97,227.41,1021.75
Bulk carrier,1236.616,63.95,200.76,2050.0
Oil tanker,2169.1,127.02,396.65,1718.68
Oil tanker,4345.3,139.05,436.99,3592.72
Oil tanker,1954.68,217.53,683.81,758.1
Bulk carrier,1563.634,88.26,277.53,1609.16
Chemical tanker,1216.32,71.42,222.93,1462.9
Bulk carrier,304.43,96.16,299.52,298.08
Chemical tanker,1079.31,74.6,233.91,1366.2
Oil tanker,3149.94,136.14,430.9,2354.18
Oil tanker,5367.51,156.72,491.48,4379.22
Container ship,9081.95,198.14,621.55,3167.45
Oil tanker,7531.868,141.68,442.82,4813.37
Oil tanker,5108.69,173.18,540.88,2727.1
Container ship,1718.54,101.62,317.89,1732.23
Container ship,2487.35,75.21,235.14,3140.8
Container ship,4032.81,75.02,238.73,3915.49
Container ship,1863.49,72.41,225.73,2261.4
Container ship,1990.32,84.44,266.14,2957.88
Container ship,8518.7838,158.74,495.1,3895.69
Container ship,12103.97,182.36,567.93,4217.2
Container ship,8695.02,170.75,533.71,4509.28
Container ship,12298.11,172.08,536.53,5252.7
Oil tanker,7344.331,167.65,525.2,5432.16
Chemical tanker,3659.35,123.35,389.47,2924.9
Oil tanker,3141.83,106.28,337.06,3027.85
Bulk carrier,2394.76972,103.7,324.46,2152.05
Oil tanker,630.19,159.18,500.85,380.4
Oil tanker,763.98,118.84,373.02,564.4
Oil tanker,1178.29,118.62,371.63,837.2
Chemical tanker,1293.47,81.85,255.81,1629.0
LNG carrier,5271.04,352.44,1040.44,1000.9
Chemical tanker,1430.2,55.52,177.99,2640.65
Chemical tanker,2269.41,63.61,201.73,3589.0
Oil tanker,1708.06,140.72,441.52,1125.1
Bulk carrier,609.2,63.49,200.84,849.6
Bulk carrier,427.83,74.74,233.42,659.1
Container ship,13991.08,135.57,422.19,6643.0
Oil tanker,4210.37,185.26,582.04,2120.7
Oil tanker,990.1,96.93,302.63,1079.6
Container ship,11780.03068,173.36,530.98,5160.86
Container ship,12474.52619,174.28,537.83,5109.55
Chemical tanker,545.5,87.24,279.69,497.4
Oil tanker,1479.12,189.87,593.57,781.55
Oil tanker,3824.03,168.06,524.73,2013.1
Oil tanker,3212.75,163.34,510.76,1923.1
Container ship,5751.93,113.84,356.17,5079.75
Container ship,1405.47,128.72,400.87,1045.3
Container ship,1209.32,91.5,286.69,1384.85
Ro-pax ship,14329.37,165.43,530.36,3703.95
Oil tanker,3800.53,88.81,278.3,3336.5
Bulk carrier,2837.03,91.16,285.21,2993.8
Bulk carrier,1074.96,80.16,249.75,1284.5
Ro-pax ship,21868.928,253.9,793.6,4486.23
Ro-pax ship,1684.46,62.37,199.95,1747.66
Oil tanker,219.97,68.42,215.59,258.22
Oil tanker,1529.91,79.5,249.19,1736.5
General cargo ship,1785.777,79.0,249.71,2793.76
Container ship,7190.1,130.66,407.76,4230.84
Oil tanker,2343.71,114.7,359.83,1821.9
Container ship,4766.6,87.26,270.95,3870.45
Container ship,16746.16,256.11,798.02,5032.87
Container ship,4723.95,256.03,798.65,1418.0
Container ship,3108.3,264.2,822.99,748.3
Oil tanker,1148.74,107.14,336.85,1035.9
Container ship,1863.1,228.25,711.99,598.85
Container ship,6595.1,298.98,935.76,1654.04
Container ship,4941.1,272.47,857.26,1380.31
Oil tanker,662.6,135.81,428.88,455.7
Container ship,15944.7,232.69,726.76,5277.49
Bulk carrier,1486.277,65.44,205.52,2105.95
Bulk carrier,688.125,77.89,242.73,860.5
Container ship,4863.896,191.98,598.31,1641.5
Bulk carrier,1226.36,96.85,304.03,1240.9
General cargo ship,89.75,172.39,539.76,108.1
Container ship,2021.0,93.17,293.02,2562.63
General cargo ship,428.65,84.5,266.77,439.55
General cargo ship,1119.07,79.64,248.53,1146.2
Container ship,15870.0,232.09,725.44,5153.5
Chemical tanker,3656.23,56.58,181.4,5737.91
Bulk carrier,813.47,76.77,242.03,1196.1
Bulk carrier,103.2,49.1,155.15,226.0
Bulk carrier,1650.071,87.75,276.31,2822.5
General cargo ship,146.27,49.6,157.2,294.15
General cargo ship,330.45,29.13,91.09,945.6
Container ship,2656.51,71.92,227.31,3437.06
Container ship,5364.58,78.71,246.9,5970.58
Container ship,5041.26,83.62,261.81,5018.18
Container ship,3927.0,73.2,228.49,4824.61
Oil tanker,2528.1,96.43,303.06,2699.2
Oil tanker,2581.09,98.79,312.74,2617.5
Container ship,6621.41,183.48,573.98,3301.2
Container ship,5143.07,181.9,568.93,2272.5
Container ship,7745.9,112.35,350.41,5391.46
Container ship,6860.38,145.45,455.62,3537.26
Container ship,10108.97,141.06,441.92,4575.0
Container ship,9320.85,254.66,795.96,2870.3
Oil tanker,1070.96,233.57,742.08,374.62
Container ship,2122.41,115.18,359.49,2736.03
General cargo ship,1809.62,41.06,131.63,4418.8
General cargo ship,1870.66,42.12,135.05,4718.33
Container ship,8200.85,175.16,548.42,3356.8
Container ship,11503.05,144.96,452.23,6497.1
Container ship,8276.22,149.46,466.4,3648.7
Container ship,3297.51,142.83,446.71,1821.3
Chemical tanker,2267.2,67.53,206.77,3312.73
Chemical tanker,3542.706083,115.61,363.68,2756.32
Chemical tanker,4779.39,120.73,379.03,3795.6
Container ship,7036.6,124.07,388.8,4002.5
Oil tanker,1302.23,132.58,420.62,847.9
Container ship,3290.79583,197.46,623.8,1089.87
Container ship,11819.68,196.77,613.13,4110.0
Container ship,5528.324,199.29,622.32,2080.63
Container ship,15165.1832,245.7,771.14,4069.84
Container ship,17914.97385,251.54,783.42,4607.9
Container ship,15078.62007,250.08,780.18,4029.1
Container ship,16544.1,227.2,709.12,4942.3
Container ship,16245.97479,227.53,711.31,4959.7
Vehicle carrier,4311.89,111.94,348.69,2544.31
Container ship,4125.98532,78.95,246.62,3717.73
Container ship,2269.368,82.08,257.1,2810.28
Container ship,548.4,114.56,356.82,388.5
Container ship,1938.71,124.96,390.37,2984.9
Bulk carrier,548.938,56.29,178.07,898.25
Oil tanker,3573.04,234.19,733.35,1594.63
Oil tanker,7710.05,173.37,545.7,4809.32
Container ship,879.07,292.15,936.62,317.6
Container ship,14244.23,292.45,916.15,3387.67
Chemical tanker,645.103119,119.45,376.35,460.24
Bulk carrier,1168.34,91.87,287.53,1212.3
Container ship,3168.50966,262.46,820.19,833.91
General cargo ship,390.75,71.43,222.99,460.53
Container ship,6327.22,122.35,384.1,3865.78
Container ship,220.9,73.6,229.19,245.0
Oil tanker,3039.497,152.93,478.58,2272.5
Bulk carrier,582.5,98.53,311.28,486.95
Bulk carrier,642.39,94.65,296.31,662.7
Vehicle carrier,1730.53,104.48,325.94,993.75
Vehicle carrier,3763.7,107.81,332.65,2560.5
Vehicle carrier,2997.11,102.15,315.41,1964.1
Vehicle carrier,5707.68,115.21,360.17,3118.1
Vehicle carrier,1749.42,109.81,343.08,1183.5
Vehicle carrier,3282.49,110.21,345.27,1991.8
General cargo ship,1122.13,69.21,217.46,1375.01
Other ship types,1426.42,66.02,206.68,1671.29
Chemical tanker,1140.47,100.69,314.49,893.9
General cargo ship,364.89585,72.64,227.91,437.23
General cargo ship,1467.58,87.69,275.7,1799.53
Container ship,29131.69,288.94,899.24,6048.5
Vehicle carrier,4290.89,102.51,320.89,2954.2
Chemical tanker,1252.5,85.17,266.26,1349.82
Oil tanker,1360.6909,117.22,367.59,993.28
Oil tanker,3142.93,100.29,314.46,3748.6
Container ship,8034.46,146.86,458.98,3477.75
Container ship,12168.17,158.63,494.22,6011.0
Container ship,6447.9,120.94,377.39,3968.17
Container ship,1266.79,139.98,436.01,643.57
Bulk carrier,531.7,71.76,226.65,729.88
Bulk carrier,1571.24,91.95,286.75,1504.48
Bulk carrier,580.771,85.87,268.5,695.05
Other ship types,230.49,117.55,369.02,153.29
Bulk carrier,2130.79,90.54,289.41,2557.04
Bulk carrier,1143.16,85.96,271.06,1182.78
Bulk carrier,840.89,80.65,253.41,1019.33
Bulk carrier,458.09,94.26,294.87,561.9
Bulk carrier,112.48,82.89,265.74,126.3
Bulk carrier,1796.738,104.13,325.28,1802.2
Bulk carrier,503.361404,100.03,315.63,465.08
Chemical tanker,1997.82,44.97,142.08,5137.24
Chemical tanker,1376.97,70.02,221.76,2043.8
Chemical tanker,380.68,55.57,173.08,565.5
Oil tanker,3516.677,158.76,497.15,2269.1
Container ship,12890.27,276.19,864.37,3659.9
Container ship,15281.42,284.74,887.39,4014.43
Container ship,7895.14,295.52,921.05,1985.9
Container ship,13267.13,317.72,989.62,2886.38
Container ship,2793.44,290.48,905.83,820.2
General cargo ship,1980.246,66.17,207.3,2570.34
Bulk carrier,1757.377,82.26,257.78,1886.64
Oil tanker,8069.39,175.05,549.1,4742.58
Oil tanker,6168.98,155.59,487.16,5621.06
Ro-pax ship,16318.1396,141.0,440.19,6837.99
Container ship,1030.46,114.81,359.2,830.2
Container ship,5286.07,118.33,370.05,5034.46
Container ship,6935.28,127.93,399.86,3673.44
Container ship,9022.763,132.22,412.91,4641.41
Bulk carrier,416.15,101.52,316.8,388.0
Oil tanker,3652.2,79.32,252.71,4742.0
Oil tanker,3180.69,81.33,257.43,3918.13
Ro-pax ship,23662.9048,299.27,935.62,3856.79
Container ship,6609.21116,170.22,528.49,2840.5
Container ship,12270.96918,180.9,558.12,4715.91
Container ship,9845.82,276.14,860.92,2665.1
Oil tanker,7874.01,153.47,492.02,5223.88
Container ship,8425.29,307.36,957.18,1558.0
Container ship,7225.461,262.69,818.23,1631.1
Oil tanker,6441.18,202.36,636.16,4102.42
Oil tanker,10528.68,181.8,570.98,5976.2
Container ship,5199.45,202.32,631.14,2127.25
Bulk carrier,5990.8,250.08,779.29,1709.2
Container ship,5848.2,271.76,846.68,1136.4
Container ship,10520.5,207.1,645.43,3940.42
Container ship,21467.8,237.48,742.69,6446.07
Container ship,20100.88,284.5,887.37,5090.65
Container ship,11480.87,275.69,860.07,2948.3
Ro-pax ship,10891.75,156.2,492.28,4929.98
Oil tanker,1661.67,136.15,426.24,2128.5
Oil tanker,136.9,133.69,419.66,213.9
Container ship,3582.768,157.21,489.55,2254.7
Container ship,363.666,132.92,413.92,352.9
Container ship,5572.65,97.99,305.59,4435.99
Container ship,3911.53,99.7,311.2,3136.59
Container ship,291.51,39.87,125.04,750.0
Container ship,6849.92,82.34,257.43,5849.17
Container ship,7262.42,87.06,270.48,5673.98
Bulk carrier,4342.731,80.27,252.24,5610.16
Container ship,4874.46,83.03,262.57,5022.38
Container ship,12074.37,205.18,643.89,3862.9
Container ship,15582.60128,270.87,836.12,3732.58
Container ship,3250.2,89.33,278.81,3526.65
Container ship,4038.97,101.04,318.79,3225.6
Container ship,3934.99,88.69,281.34,4070.68
Container ship,4227.34,98.24,309.8,3439.49
Container ship,300.56,106.76,328.83,269.1
Container ship,3641.88,91.07,284.49,3826.9
General cargo ship,920.309,37.47,118.55,3738.28
General cargo ship,1316.89,43.22,136.65,3594.98
General cargo ship,1062.76,44.61,143.01,2967.9
General cargo ship,1198.21,30.37,95.64,4200.64
General cargo ship,1031.926,37.96,120.33,3006.85
General cargo ship,780.51599,36.17,113.79,2599.0
General cargo ship,621.35,34.16,107.35,3047.35
General cargo ship,832.283,31.67,100.42,2947.89
General cargo ship,741.558,44.47,141.29,2395.25
General cargo ship,1070.505,43.45,139.3,3389.55
General cargo ship,1254.4,43.19,138.45,3007.9
LNG carrier,1453.55,349.87,946.09,359.32
Ro-ro ship,7232.07,98.67,307.8,6132.27
Ro-ro ship,6004.7,93.37,291.41,5044.0
Container ship,406.95,110.32,345.3,333.7
General cargo ship,520.89,110.09,345.1,560.43
Container ship,5013.04,176.84,547.33,1773.6
Oil tanker,2278.28,129.2,405.79,1565.0
LNG carrier,10408.984,333.07,928.89,2188.56
Container ship,2581.93,205.29,639.53,1003.6
Container ship,9174.02,291.71,910.37,2117.48
Container ship,4573.89,240.98,751.01,1201.6
Container ship,16570.91,294.69,919.47,3775.5
Container/ro-ro cargo ship,13091.05,168.01,523.58,5196.63
Container/ro-ro cargo ship,12496.37,161.11,502.01,5307.19
Container/ro-ro cargo ship,12432.13,149.4,465.64,5379.85
Container/ro-ro cargo ship,12098.16,150.61,469.36,5395.88
Bulk carrier,1105.26,87.51,274.03,1176.2
Bulk carrier,1802.68,86.01,269.83,1960.1
Oil tanker,2519.44,68.8,220.59,3664.84
Oil tanker,3416.93,98.18,309.66,3667.0
Container ship,7330.13,118.83,379.77,5145.83
Container ship,7223.25,124.17,387.07,4434.0
Chemical tanker,812.93,118.39,375.76,664.4
Chemical tanker,714.61,101.16,317.7,595.1
Container ship,6882.22,187.55,586.5,3388.85
Oil tanker,4418.19,106.67,334.62,3481.7
Oil tanker,3078.58,122.57,383.76,2165.97
Oil tanker,2921.379,113.02,356.63,2579.71
Oil tanker,91.3,114.41,366.8,131.8
Oil tanker,1895.98,120.4,377.68,1268.18
Container ship,11336.32,164.19,511.71,4571.08
Chemical tanker,1142.36,72.38,226.47,1445.33
Container ship,8414.9,127.27,400.93,5222.6
LNG carrier,7293.628,301.07,849.13,1703.55
Container ship,6391.04,249.11,777.25,1757.4
Chemical tanker,2319.83,87.63,280.95,2821.47
Chemical tanker,3484.55,101.32,318.49,3868.13
Container ship,2475.2,93.66,292.88,3039.43
Container ship,1772.56,120.44,377.25,1835.0
Container ship,4410.61,88.25,275.74,4756.7
Container ship,4145.95,92.25,293.83,5068.8
Container ship,2866.57,89.45,279.33,4319.3
Vehicle carrier,6809.7,102.6,321.23,5230.5
Vehicle carrier,2414.29,94.08,294.4,1872.7
Vehicle carrier,3341.78,100.21,312.86,2235.0
Vehicle carrier,1550.2497,99.65,306.62,1008.5
Chemical tanker,1936.71,52.57,168.53,3974.38
Oil tanker,2015.98,143.25,452.6,1787.58
Oil tanker,845.39,109.62,343.56,662.4
Chemical tanker,1552.06,71.06,227.81,3204.23
Container ship,6232.67,173.95,544.45,2953.37
Container ship,11258.46,158.41,493.9,4568.42
Container ship,6925.56,142.45,445.58,5270.4
Oil tanker,4066.54,166.81,524.65,2396.18
Oil tanker,4738.49,165.46,519.55,4225.2
Container ship,2441.2,313.13,984.23,581.5
Container ship,11475.2,271.86,849.05,3026.9
Container ship,9112.55,301.95,946.49,2026.7
Chemical tanker,1226.4,83.34,260.01,1322.92
General cargo ship,83.73,66.26,207.89,101.42
Chemical tanker,773.06098,69.31,218.06,1212.7
Bulk carrier,1028.42,111.34,348.02,846.05
Oil tanker,3181.06,99.22,311.9,3673.33
Oil tanker,381.95,136.01,424.44,355.5
Vehicle carrier,1296.4,113.66,353.94,697.6
General cargo ship,1558.49,53.74,169.58,2775.91
Bulk carrier,1185.06,101.49,318.4,1449.5
Chemical tanker,3287.17,55.55,178.11,5576.1
General cargo ship,1754.93,77.78,244.29,1880.17
Bulk carrier,982.398,112.22,349.71,799.35
Bulk carrier,1028.77,55.03,172.89,1793.74
Bulk carrier,701.62,66.88,208.51,1123.32
Bulk carrier,558.99,121.84,386.66,604.17
Oil tanker,1684.29,90.06,282.69,1581.5
Bulk carrier,1161.88,60.94,190.6,1673.1
Bulk carrier,1016.96,65.96,207.51,1480.45
Bulk carrier,1727.06203,84.01,265.7,1953.86
Oil tanker,3392.56,106.64,335.52,2750.9
Chemical tanker,933.12,77.95,244.36,949.9
Chemical tanker,965.99,74.39,234.14,1017.4
Oil tanker,339.5,75.23,237.36,404.6
Bulk carrier,1003.44,79.04,246.47,1017.3
Bulk carrier,1380.92,79.12,246.98,1465.0
Chemical tanker,328.14,58.29,182.4,510.3
General cargo ship,981.8,94.54,295.99,1186.87
Bulk carrier,853.5,70.41,221.24,1290.1
Bulk carrier,203.41,114.55,356.72,160.6
Bulk carrier,688.97,85.21,269.54,720.62
LNG carrier,2633.86,263.28,725.49,739.84
LNG carrier,3897.71,268.84,741.7,1492.01
LNG carrier,13856.33,262.08,723.38,5094.04
Chemical tanker,1393.62,59.79,187.9,2155.73
Container ship,11722.78825,169.39,522.55,4826.88
Oil tanker,3711.19,108.1,340.63,3223.13
Chemical tanker,545.62,102.39,323.64,532.04
Container ship,1068.1,101.98,317.55,926.6
Container ship,4965.46,128.11,400.14,2886.0
Container ship,595.5,128.65,400.61,345.9
Container ship,4344.82,139.06,433.09,3250.0
Vehicle carrier,2613.1,104.88,325.43,1672.7
Vehicle carrier,516.7,117.38,372.45,366.3
General cargo ship,1095.27,73.93,232.71,1204.83
Container ship,8849.7,147.41,459.45,4566.6
General cargo ship,85.61,33.4,106.21,290.62
Oil tanker,2656.8,82.15,263.36,3213.0
Oil tanker,1822.99,95.03,303.35,3305.5
Vehicle carrier,3881.4,105.98,332.31,2505.57
Oil tanker,4971.1,136.46,426.96,3370.55
Oil tanker,2549.2,143.33,448.07,1520.2
Other ship types,3042.09,55.88,174.68,4964.0
Container ship,5074.22,82.47,257.88,4831.61
Container ship,4978.49,79.98,250.07,5027.16
Container ship,2808.43,80.87,253.49,2938.5
Bulk carrier,1090.1,58.86,186.03,1769.0
Bulk carrier,351.1,93.43,296.18,479.48
Chemical tanker,1947.28,46.29,146.18,4736.55
Container ship,5484.92,114.0,355.77,4065.52
Oil tanker,95.63,3984.58,12650.91,2.5
Vehicle carrier,3010.08,102.78,321.97,2013.48
Vehicle carrier,3211.08,113.63,356.52,2288.67
Oil tanker,3669.70833,269.42,840.21,1132.3
Container ship,12648.98,166.85,522.49,5145.9
Container ship,11855.73,160.52,503.07,5101.17
Container ship,227.387948,117.15,366.46,157.8
Container ship,408.0,105.78,329.53,348.9
Bulk carrier,1852.39,64.64,202.57,2595.5
Container ship,10987.852,196.93,613.66,3901.16
Container ship,16868.26667,242.89,757.33,4667.1
Container ship,19898.717,244.57,763.79,5494.93
Container ship,12405.31,252.72,788.27,3191.8
Vehicle carrier,210.36,106.14,340.27,155.2
Vehicle carrier,144.68,122.87,393.92,95.4
Oil tanker,2993.2,139.25,435.75,2375.05
Oil tanker,1661.7,129.94,406.36,1257.88
Oil tanker,1368.1,192.34,603.85,743.52
Oil tanker,3432.247,135.2,425.85,3502.0
Chemical tanker,2077.854,149.44,471.81,1387.71
Container ship,11214.3,228.69,720.42,3136.91
Container ship,12379.75,226.93,710.06,3502.1
Container ship,13015.013,216.2,673.43,3871.62
Container ship,9676.19,212.56,663.88,3062.4
Bulk carrier,1081.24,108.59,339.58,885.45
Container ship,150.7,96.11,306.11,122.7
Container ship,5530.598,106.35,334.35,4335.53
Bulk carrier,1067.17,103.44,327.82,937.12
Bulk carrier,1417.27,107.17,334.82,1111.07
Bulk carrier,3486.05,158.24,493.94,2169.72
Bulk carrier,1491.339,148.59,464.69,954.34
Oil tanker,754.62,101.87,318.99,1058.8
Chemical tanker,3048.454,81.47,256.18,3316.1
Oil tanker,2065.94,92.27,288.3,2332.0
Chemical tanker,446.53,108.15,342.67,1663.9
Oil tanker,2529.254,154.51,485.27,1511.1
Oil tanker,731.6,131.51,415.71,400.4
Oil tanker,4712.61,155.96,500.02,4449.45
Container ship,4852.6827,201.35,623.48,1837.66
Container ship,9982.71,183.58,572.76,4284.5
Container ship,15990.22,218.2,682.62,5166.4
Container ship,7221.41851,172.85,532.06,3109.23
Container ship,2609.44,226.37,705.45,817.2
Oil tanker,1079.8,123.21,384.41,677.0
Oil tanker,655.82,129.7,407.24,647.1
Container ship,13045.28077,178.32,549.77,4974.45
General cargo ship,1646.34,63.92,201.81,2200.4
General cargo ship,185.7,20.94,67.13,1195.0
Bulk carrier,4395.300547,88.72,277.48,4769.7
Chemical tanker,2263.24,47.94,151.24,4222.77
Chemical tanker,2258.33,48.15,152.48,4062.55
Chemical tanker,2597.7,50.81,161.08,4511.0
Chemical tanker,295.9,145.8,462.0,345.7
Chemical tanker,309.52,88.49,279.15,363.6
Chemical tanker,2184.423,110.74,350.72,2689.56
Oil tanker,1644.194,96.03,304.03,1700.4
Oil tanker,5144.306,105.77,336.04,4834.22
Chemical tanker,2492.8,99.45,312.61,2456.32
Container ship,4918.61,121.05,378.38,4538.88
Container ship,4826.38,145.6,455.54,2576.7
Container ship,5326.64,94.33,295.81,4889.5
Container ship,5086.82,78.92,246.56,5226.5
Container ship,1009.66,76.93,242.68,1212.0
Container ship,3761.15,61.9,198.16,5003.57
Oil tanker,1904.28,103.26,324.24,1715.0
Chemical tanker,113.14,130.5,417.69,126.98
